device_id,DeviceType,DeviceInfo,os,browser
android_60,mobile,Android 6.0.1,,android webview 4.0
moto_g_play,mobile,Moto G Play Build/MPIS24.241-15.3-26,,chrome 62.0 for android
nexus_6p,mobile,Nexus 6P Build/OPR5.170623.011,Android 8.0.0,
sgp521,mobile,SGP521,,chrome 62.0 for android
vs988,mobile,VS988 Build/NRD90U,Android 7.0,chrome 62.0 for android
sm-g531h,mobile,SM-G531H Build/LMY48B,,chrome 57.0 for android
moto_c,mobile,Moto C Build/NRD90M.063,,chrome 62.0 for android
lg-k410,mobile,LG-K410 Build/LRX22G,,chrome 59.0 for android
sm-g935f,mobile,SM-G935F Build/MMB29K,,chrome 62.0 for android
moto_c_plus,mobile,Moto C Plus Build/NRD90M.05.022,,chrome 56.0 for android
lg-x180g,mobile,LG-X180g Build/LMY47I,,chrome 46.0 for android
sm-g925p,mobile,SM-G925P Build/NRD90M,,chrome 56.0 for android
es-us,mobile,es-us,,android webview 4.0
sm-g920v,mobile,SM-G920V Build/NRD90M,Android 7.0,chrome 62.0 for android
sm-g935t,mobile,SM-G935T Build/NRD90M,Android 7.0,chrome 62.0 for android
moto_e_4_plus,mobile,Moto E (4) Plus Build/NMA26.42-69,,chrome generic
sm-g925w8,mobile,SM-G925W8,,chrome 62.0 for android
rv480,desktop,rv:48.0,Windows 7,firefox 48.0
samsung-sm-g930a,mobile,SAMSUNG-SM-G930A Build/NRD90M,Android 7.0,chrome 62.0 for android
htc_one_m9,mobile,HTC One M9 Build/NRD90M,Android 7.0,chrome 62.0 for android
7055a,mobile,7055A Build/KVT49L,,chrome 62.0 for android
sm-t810,mobile,SM-T810 Build/NRD90M,Android 7.0,chrome 62.0 for android
rv510,desktop,rv:51.0,,firefox
sm-n910v,mobile,SM-N910V Build/MMB29M,Android 6.0.1,chrome 62.0 for android
sm-g930t,mobile,SM-G930T Build/NRD90M,Android 7.0,chrome 62.0 for android
lg-h870,mobile,LG-H870 Build/NRD90U,,chrome 62.0 for android
samsung_sm-g950u1,mobile,SAMSUNG SM-G950U1 Build/NRD90M,Android 7.0,samsung browser 6.2
samsung_sm-s727vl,mobile,SAMSUNG SM-S727VL Build/MMB29M,Android 6.0.1,samsung browser 4.0
sm-n920g,mobile,SM-N920G Build/NRD90M,,chrome 62.0 for android
moto_g_5_plus,mobile,Moto G (5) Plus Build/NPN25.137-72,,android webview 4.0
moto_g_5,mobile,Moto G (5) Build/NPP25.137-72,,chrome generic
lg-d373,mobile,LG-D373 Build/KOT49I.V10a,,chrome 61.0 for android
ale-l23,mobile,ALE-L23 Build/HuaweiALE-L23,,chrome 46.0 for android
z836bl,mobile,Z836BL,Android 6.0.1,chrome 53.0 for android
ilium_x710,mobile,Ilium X710 Build/MRA58K,,chrome 62.0 for android
lg-d680,mobile,LG-D680 Build/KOT49I,,chrome 62.0 for android
m4_ss4450,mobile,M4 SS4450 Build/MRA58K,,other
lg-k580,mobile,LG-K580 Build/MRA58K,,chrome 62.0 for android
sm-a710m,mobile,SM-A710M,,chrome 62.0 for android
moto_z2_play,mobile,Moto Z2 Play Build/NPSS26.118-19-6,,chrome 62.0 for android
z981,mobile,Z981 Build/MMB29M,Android 6.0.1,chrome 62.0 for android
sm-t710,mobile,SM-T710 Build/NRD90M,,chrome 62.0 for android
sm-t700,mobile,SM-T700 Build/MMB29K,,chrome 62.0 for android
one_touch_4033a,mobile,ONE TOUCH 4033A Build/JDQ39,,chrome 62.0 for android
f5121,mobile,F5121 Build/34.3.A.0.228,,chrome 62.0 for android
was-lx3,mobile,WAS-LX3 Build/HUAWEIWAS-LX3,,chrome 62.0 for android
r8106,mobile,R8106,,chrome 62.0 for android
motog3,mobile,MotoG3 Build/MPIS24.65-33.1-2-16,,chrome 62.0 for android
sm-g925i,mobile,SM-G925I Build/MMB29K,,chrome 62.0 for android
huawei_vns-l53,mobile,HUAWEI VNS-L53 Build/HUAWEIVNS-L53,,chrome 62.0 for android
blade_v6,mobile,Blade V6 Build/LRX22G,,chrome 62.0 for android
sm-t113nu,mobile,SM-T113NU Build/KTU84P,,chrome 62.0 for android
samsung_sm-g530h,mobile,SAMSUNG SM-G530H Build/LRX22G,,other
sm-j510mn,mobile,SM-J510MN Build/MMB29M,,chrome 62.0 for android
sm-g950f,mobile,SM-G950F Build/NRD90M,,chrome 62.0 for android
samsung_sm-j700m,mobile,SAMSUNG SM-J700M Build/MMB29K,,samsung browser 6.2
sm-g570m,mobile,SM-G570M Build/MMB29K,,chrome 62.0 for android
samsung-sm-g891a,mobile,SAMSUNG-SM-G891A Build/NRD90M,Android 7.0,chrome 62.0 for android
sm-j500m,mobile,SM-J500M Build/LMY48B,,chrome 62.0 for android
sm-j727u,mobile,SM-J727U Build/NRD90M,,chrome 58.0 for android
lgls676,mobile,LGLS676 Build/MXB48T,Android 6.0.1,chrome 62.0 for android
ta-1003,mobile,TA-1003,,chrome 62.0 for android
sm-g900v,mobile,SM-G900V Build/MMB29M,Android 6.0.1,chrome 62.0 for android
vk810,mobile,VK810,Android 5.0.2,chrome 62.0 for android
kfaswi,mobile,KFASWI Build/LVY48F,Android 5.1.1,chrome generic
sm-j320m,mobile,SM-J320M Build/LMY47V,,chrome 62.0 for android
sm-j120h,mobile,SM-J120H Build/LMY47V,,chrome generic
sm-n950u,mobile,SM-N950U Build/NMF26X,Android 7.1.1,chrome 62.0 for android
lg-d693n,mobile,LG-D693n Build/LRX22G,,chrome 60.0 for android
huawei_rio-l03,mobile,HUAWEI RIO-L03 Build/HUAWEIRIO-L03,,chrome 62.0 for android
samsung_sm-g930a,mobile,SAMSUNG SM-G930A Build/NRD90M,Android 7.0,samsung browser 6.2
5012g,mobile,5012G Build/MRA58K,,chrome 55.0 for android
sm-p350,mobile,SM-P350 Build/MMB29M,,chrome 62.0 for android
sm-a300h,mobile,SM-A300H Build/LRX22G,,chrome 62.0 for android
moto,mobile,Moto,Android 7.0,chrome generic
sm-g925v,mobile,SM-G925V Build/NRD90M,Android 7.0,chrome 62.0 for android
samsung_sm-n910a,mobile,SAMSUNG SM-N910A Build/MMB29M,Android 6.0.1,samsung browser 6.2
sm-g532m,mobile,SM-G532M Build/MMB29T,,chrome 60.0 for android
5080a,mobile,5080A Build/MRA58K,,chrome 62.0 for android
xt1254,mobile,XT1254 Build/MCG24.251-5-5,Android 6.0.1,chrome 62.0 for android
kfgiwi,mobile,KFGIWI Build/LVY48F,Android 5.1.1,chrome generic
lg-d331,mobile,LG-D331 Build/LRX22G,,chrome 60.0 for android
sm-g950u1,mobile,SM-G950U1 Build/NRD90M,Android 7.0,chrome 62.0 for android
pixel,mobile,Pixel,,chrome 62.0 for android
sm-g900t,mobile,SM-G900T Build/MMB29M,Android 6.0.1,chrome 62.0 for android
e5606,mobile,E5606 Build/30.2.A.1.21,,chrome 62.0 for android
z410,mobile,Z410,,chrome 62.0 for android
lg-h500,mobile,LG-H500 Build/LRX21Y,,chrome 59.0 for android
huawei_tag-l13,mobile,HUAWEI TAG-L13 Build/HUAWEITAG-L13,,chrome 62.0 for android
p4526a,mobile,P4526A Build/NRD90M,,chrome 58.0 for android
sm-g900f,mobile,SM-G900F Build/MMB29M,,chrome 62.0 for android
sm-a510m,mobile,SM-A510M Build/NRD90M,,chrome 62.0 for android
xt1565,mobile,XT1565,Android 6.0.1,chrome 62.0 for android
blade_v6_max,mobile,Blade V6 Max Build/MRA58K,,chrome 62.0 for android
f3213,mobile,F3213 Build/36.1.A.1.86,,chrome 62.0 for android
rex,mobile,REX,,chrome 61.0 for android
xt1585,mobile,XT1585 Build/NCK25.118-10.5,Android 7.0,chrome 62.0 for android
motog3-te,mobile,MotoG3-TE,,chrome 62.0 for android
ilium_lt510,mobile,Ilium LT510 Build/MRA58K,,chrome 60.0 for android
samsung-sm-g870a,mobile,SAMSUNG-SM-G870A Build/MMB29M,Android 6.0.1,chrome 62.0 for android
sm-a500m,mobile,SM-A500M Build/KTU84P,,chrome 62.0 for android
htc,mobile,HTC,Android,chrome 50.0 for android
samsung_sm-g950f,mobile,SAMSUNG SM-G950F Build/NRD90M,,samsung browser 6.2
lg-x240,mobile,LG-X240 Build/MRA58K,,chrome 62.0 for android
kfauwi,mobile,KFAUWI Build/LVY48F,Android 5.1.1,chrome generic
lg-k428,mobile,LG-K428 Build/MMB29M,Android 6.0.1,chrome 59.0 for android
samsung_sm-t580,mobile,SAMSUNG SM-T580 Build/NRD90M,Android 7.0,samsung browser 6.2
edison,mobile,Edison,,chrome 62.0 for android
hisense_f20,mobile,Hisense F20 Build/MMB29M,,chrome 62.0 for android
sm-j327v,mobile,SM-J327V Build/NRD90M,Android 7.0,chrome 62.0 for android
lgls775,mobile,LGLS775 Build/NRD90U,Android 7.0,chrome 61.0 for android
lg-ls777,mobile,LG-LS777 Build/NRD90U,Android 7.0,chrome 62.0 for android
lg-h320,mobile,LG-H320 Build/LRX21Y,,chrome 51.0 for android
qtasun1,mobile,QTASUN1 Build/NRD90M,Android 7.0,chrome 56.0 for android
sm-j730g,mobile,SM-J730G Build/NRD90M,,chrome 62.0 for android
rv580,desktop,rv:58.0,,firefox generic
htc_10,mobile,HTC 10 Build/NRD90M,Android 7.0,chrome 62.0 for android
xt1063,mobile,XT1063,,chrome 62.0 for android
vs995,mobile,VS995 Build/NRD90M,Android 7.0,chrome 62.0 for android
sm-g550t,mobile,SM-G550T Build/MMB29K,Android 6.0.1,chrome 59.0 for android
samsung_sm-g930p,mobile,SAMSUNG SM-G930P Build/NRD90M,Android 7.0,samsung browser 6.2
lg-k530,mobile,LG-K530 Build/MMB29M,,chrome 62.0 for android
samsung_sm-j701m,mobile,SAMSUNG SM-J701M Build/NRD90M,,samsung browser 6.2
samsung_sm-t587p,mobile,SAMSUNG SM-T587P Build/NRD90M,Android 7.0,samsung browser 6.2
sm-t530nu,mobile,SM-T530NU Build/LRX22G,Android 5.0.2,chrome 62.0 for android
sm-s920l,mobile,SM-S920L,Android 5.0.2,chrome 62.0 for android
sm-g530h,mobile,SM-G530H Build/LRX22G,,chrome 62.0 for android
lg-v410,mobile,LG-V410,Android 5.0.2,chrome 61.0 for android
samsung_sm-g891a,mobile,SAMSUNG SM-G891A Build/NRD90M,Android 7.0,samsung browser 6.2
gt-p5113,mobile,GT-P5113,Android,chrome 62.0 for android
lg-h840,mobile,LG-H840 Build/NRD90U,,chrome 62.0 for android
bac-l03,mobile,BAC-L03 Build/HUAWEIBAC-L03,,chrome 62.0 for android
samsung_sm-t810,mobile,SAMSUNG SM-T810 Build/NRD90M,,samsung browser 6.2
vs835,mobile,VS835,Android 7.0,chrome 62.0 for android
lg-tp450,mobile,LG-TP450 Build/NRD90U,,chrome 60.0 for android
sm-j727v,mobile,SM-J727V Build/NRD90M,Android 7.0,chrome 62.0 for android
sm-g955f,mobile,SM-G955F Build/NRD90M,,chrome 62.0 for android
kfdowi,mobile,KFDOWI Build/LVY48F,Android 5.1.1,chrome generic
sm-j200m,mobile,SM-J200M Build/LMY47X,,chrome 62.0 for android
sm-j320h,mobile,SM-J320H,,chrome 62.0 for android
blade_v8_se,mobile,BLADE V8 SE Build/NRD90M,,chrome 62.0 for android
sm-n920t,mobile,SM-N920T Build/NRD90M,Android 7.0,chrome 62.0 for android
lg-h542,mobile,LG-H542 Build/MRA58K,,chrome 52.0 for android
sm-t330nu,mobile,SM-T330NU Build/LMY47X,Android 5.1.1,chrome 61.0 for android
samsung_sm-j500m,mobile,SAMSUNG SM-J500M Build/LMY48B,,other
lg-m322,mobile,LG-M322,Android 7.0,chrome 62.0 for android
chc-u03,mobile,CHC-U03 Build/HuaweiCHC-U03,,chrome 62.0 for android
htc_desire_650,mobile,HTC Desire 650 Build/MMB29M,,chrome 60.0 for android
samsung-sm-g935a,mobile,SAMSUNG-SM-G935A Build/NRD90M,Android 7.0,chrome 57.0 for android
lg-k200,mobile,LG-K200 Build/MXB48T,,chrome 62.0 for android
aquaris,mobile,Aquaris,,chrome 61.0 for android
sm-j710mn,mobile,SM-J710MN Build/MMB29K,,chrome 62.0 for android
alcatel_4060a,mobile,Alcatel_4060A,Android 5.1.1,chrome generic
lgms631,mobile,LGMS631 Build/MRA58K,Android 6.0,chrome 62.0 for android
mot-a6020l37,mobile,MOT-A6020l37 Build/LMY47V,,other
5011a,mobile,5011A Build/NRD90M,,chrome 56.0 for android
sm-t550,mobile,SM-T550 Build/NMF26X,Android 7.1.1,chrome 62.0 for android
e6603,mobile,E6603 Build/32.4.A.1.54,,chrome 62.0 for android
redmi_4a,mobile,Redmi 4A Build/MMB29M,,chrome 62.0 for android
rv550,desktop,rv:55.0,Mac OS X 10.10,firefox 55.0
sm-t520,mobile,SM-T520,Android 4.4.2,chrome 62.0 for android
htc_desire_10_lifestyle,mobile,HTC Desire 10 lifestyle Build/MMB29M,,chrome 62.0 for android
sm-a720f,mobile,SM-A720F Build/MMB29K,,chrome 62.0 for android
moto_g_5s,mobile,Moto G (5S,,chrome generic
sm-g930r4,mobile,SM-G930R4 Build/NRD90M,Android 7.0,chrome 62.0 for android
samsung_sm-g610m,mobile,SAMSUNG SM-G610M Build/MMB29K,,samsung browser 6.2
lenovo_k33b36,mobile,Lenovo K33b36 Build/NRD90N,,chrome 62.0 for android
sm-g930u,mobile,SM-G930U Build/NRD90M,,chrome 62.0 for android
samsung_sm-n950u,mobile,SAMSUNG SM-N950U Build/NMF26X,Android 7.1.1,samsung browser 6.2
sm-a320fl,mobile,SM-A320FL Build/MMB29K,,chrome 62.0 for android
lg-m250,mobile,LG-M250 Build/NRD90U,,chrome 62.0 for android
kfsawi,mobile,KFSAWI,Android 5.1.1,chrome generic
samsung_sm-g930f,mobile,SAMSUNG SM-G930F Build/NRD90M,,samsung browser 6.2
samsung_sm-n920v,mobile,SAMSUNG SM-N920V Build/NRD90M,Android 7.0,samsung browser 6.2
windows_nt_61,desktop,Windows NT 6.1,,ie
rv450,desktop,rv:45.0,Windows 10,firefox
samsung-sm-j327a,mobile,SAMSUNG-SM-J327A Build/NRD90M,Android 7.0,chrome 62.0 for android
sm-g935v,mobile,SM-G935V Build/NRD90M,Android 7.0,chrome 62.0 for android
mddrjs,desktop,MDDRJS,Windows 7,ie 11.0 for desktop
sm-g935p,mobile,SM-G935P Build/NRD90M,Android 7.0,chrome 62.0 for android
sm-g930p,mobile,SM-G930P Build/NRD90M,Android 7.0,chrome 62.0 for android
sm-g928v,mobile,SM-G928V Build/NRD90M,Android 7.0,chrome 62.0 for android
lg-m210,mobile,LG-M210 Build/NRD90U,Android 7.0,chrome 62.0 for android
blade_v580,mobile,Blade V580 Build/LMY47D,,chrome 62.0 for android
ilium_lt500,mobile,Ilium LT500 Build/LMY47O,,chrome 60.0 for android
y635-l03,mobile,Y635-L03 Build/HuaweiY635-L03,,chrome 62.0 for android
rv420,desktop,rv:42.0,Windows 7,firefox
samsung_sm-g925t,mobile,SAMSUNG SM-G925T Build/NRD90M,Android 7.0,samsung browser 6.2
samsung-sm-g900a,mobile,SAMSUNG-SM-G900A Build/LRX21T,Android 5.0,chrome 62.0 for android
moto_z_2,mobile,Moto Z (2,Android 7.1.1,chrome generic
sm-g360t1,mobile,SM-G360T1 Build/LMY47X,,chrome 53.0 for android
sm-s903vl,mobile,SM-S903VL,Android 6.0.1,chrome 62.0 for android
samsung_sm-g920a,mobile,SAMSUNG SM-G920A Build/NRD90M,Android 7.0,samsung browser 6.2
huawei_vns-l23,mobile,HUAWEI VNS-L23 Build/HUAWEIVNS-L23,,chrome 62.0 for android
lg-h811,mobile,LG-H811 Build/MRA58K,Android 6.0,chrome 62.0 for android
m4_ss4456,mobile,M4 SS4456 Build/LMY47V,,chrome 62.0 for android
samsung-sm-t337a,mobile,SAMSUNG-SM-T337A Build/LMY47X,Android 5.1.1,chrome 62.0 for android
samsung_sm-g955u,mobile,SAMSUNG SM-G955U Build/NRD90M,Android 7.0,samsung browser 6.2
sm-g900p,mobile,SM-G900P Build/MMB29M,Android 6.0.1,android webview 4.0
sm-g800f,mobile,SM-G800F Build/KOT49H,,chrome 62.0 for android
bntv400,mobile,BNTV400,Android,chrome generic for android
huawei_vns-l21,mobile,HUAWEI VNS-L21 Build/HUAWEIVNS-L21,,chrome 62.0 for android
oneplus_a5000,mobile,ONEPLUS A5000 Build/NMF26X,,chrome 62.0 for android
htc_desire_626s,mobile,HTC Desire 626s Build/LMY47O,,chrome 61.0 for android
android_44,mobile,Android 4.4.2,Android 4.4.2,other
xt1710-02,mobile,XT1710-02 Build/NDSS26.118-23-15,Android 7.1.1,chrome 62.0 for android
rv490,desktop,rv:49.0,,firefox
eva-l09,mobile,EVA-L09 Build/HUAWEIEVA-L09,,chrome 62.0 for android
lenovo,mobile,Lenovo,,chrome 62.0 for android
lg-k540,mobile,LG-K540 Build/MMB29M,Android 6.0.1,chrome 62.0 for android
frd-l04,mobile,FRD-L04 Build/HUAWEIFRD-L04,Android 7.0,chrome 62.0 for android
linux_x86_64,desktop,Linux x86_64,,firefox 56.0
samsung_sm-g935t,mobile,SAMSUNG SM-G935T Build/NRD90M,Android 7.0,samsung browser 6.2
sm-g900m,mobile,SM-G900M Build/LRX21T,,chrome 62.0 for android
lg-h820,mobile,LG-H820 Build/NRD90U,Android 7.0,chrome 62.0 for android
z983,mobile,Z983 Build/NMF26F,Android 7.1.1,chrome 62.0 for android
lgls991,mobile,LGLS991,Android 6.0,chrome 62.0 for android
sm-s120vl,mobile,SM-S120VL,Android 6.0.1,chrome 62.0 for android
le,mobile,Le,Android,chrome 62.0 for android
ilium_l1120,mobile,Ilium L1120 Build/NRD90M,,chrome 62.0 for android
xt1650,mobile,XT1650 Build/NCLS26.118-23-13-3,Android 7.1.1,chrome 62.0 for android
sm-t377p,mobile,SM-T377P Build/NMF26X,Android 7.1.1,chrome 60.0 for android
qtaqz3,mobile,QTAQZ3 Build/LMY47V,Android 5.1.1,chrome 62.0 for android
sm-a310m,mobile,SM-A310M,,chrome 62.0 for android
f5321,mobile,F5321,,chrome 62.0 for android
kftbwi,mobile,KFTBWI Build/LVY48F,Android 5.1.1,chrome generic
m4_ss4453,mobile,M4 SS4453 Build/MMB29M,,chrome 62.0 for android
xt1064,mobile,XT1064 Build/MPB24.65-34-3,,chrome 62.0 for android
vs987,mobile,VS987 Build/NRD90U,Android 7.0,android webview 4.0
sm-g386t,mobile,SM-G386T,Android 4.4.2,chrome 62.0 for android
samsung-sm-n920a,mobile,SAMSUNG-SM-N920A Build/NRD90M,,chrome 62.0 for android
samsung_sm-j727t1,mobile,SAMSUNG SM-J727T1 Build/NRD90M,Android 7.0,samsung browser 5.4
samsung_sm-g532m,mobile,SAMSUNG SM-G532M Build/MMB29T,,samsung browser 6.2
sm-g925t,mobile,SM-G925T Build/NRD90M,Android 7.0,chrome 61.0 for android
nethelper70,desktop,NetHelper70,,ie 11.0 for desktop
samsung_sm-g890a,mobile,SAMSUNG SM-G890A Build/NRD90M,Android 7.0,samsung browser 5.4
d5803,mobile,D5803 Build/23.5.A.1.291,,chrome 62.0 for android
gt-i8190l,mobile,GT-I8190L Build/JZO54K,,chrome 59.0 for android
nexus,mobile,Nexus,Android 5.1.1,chrome 62.0 for android
sm-t580,mobile,SM-T580 Build/NRD90M,Android 7.0,chrome 62.0 for android
zeia8,mobile,ZEIA8,,chrome 62.0 for android
sm-n920p,mobile,SM-N920P Build/NRD90M,Android 7.0,chrome 62.0 for android
samsung_sm-j320f,mobile,SAMSUNG SM-J320F Build/LMY47V,,chrome generic
vs501,mobile,VS501 Build/NRD90U,Android 7.0,chrome 62.0 for android
linux_i686,desktop,Linux i686,Linux,firefox
sm-n910h,mobile,SM-N910H,,chrome 62.0 for android
sm-g920f,mobile,SM-G920F Build/NRD90M,,chrome 62.0 for android
sm-t560,mobile,SM-T560 Build/KTU84P,,chrome 62.0 for android
motoe24g-lte,mobile,MotoE2(4G-LTE,,chrome generic
touch,desktop,Touch,,ie 11.0 for desktop
lg-x230,mobile,LG-X230 Build/MRA58K,,chrome 62.0 for android
lg-k371,mobile,LG-K371,Android 7.0,chrome 62.0 for android
sm-t560nu,mobile,SM-T560NU Build/MMB29M,Android 6.0.1,chrome 61.0 for android
samsung_sm-a520f,mobile,SAMSUNG SM-A520F Build/NRD90M,,samsung browser 6.2
sm-p600,mobile,SM-P600 Build/LMY47X,,chrome 62.0 for android
htc_u11,mobile,HTC U11 Build/NMF26X,,chrome 62.0 for android
kfapwi,mobile,KFAPWI Build/KTU84M,Android,chrome generic
g3313,mobile,G3313,,chrome 62.0 for android
ax920,mobile,AX920,,chrome 62.0 for android
sm-j327vpp,mobile,SM-J327VPP Build/NRD90M,Android 7.0,chrome 62.0 for android
lg-m320,mobile,LG-M320 Build/NRD90U,,chrome 62.0 for android
sm-g610f,mobile,SM-G610F,,chrome 62.0 for android
rv540,desktop,rv:54.0,Mac OS X 10.11,firefox
qmv7a,mobile,QMV7A,Android 4.4.2,chrome 60.0 for android
sm-t817v,mobile,SM-T817V Build/NRD90M,Android 7.0,chrome 62.0 for android
htc_desire_530,mobile,HTC Desire 530 Build/MMB29M,,chrome 60.0 for android
lg-ls998,mobile,LG-LS998,Android 7.1.2,chrome 62.0 for android
rv410,desktop,rv:41.0,,firefox
gt-p5210,mobile,GT-P5210 Build/JDQ39,,chrome 62.0 for android
sm-j730f,mobile,SM-J730F,,chrome 62.0 for android
kfjwi,mobile,KFJWI,Android,silk
htc_desire_510,mobile,HTC Desire 510 Build/KOT49H,Android 4.4.2,chrome 62.0 for android
android,mobile,Android,,chrome generic
lg-h810,mobile,LG-H810,Android 6.0,chrome 62.0 for android
sm-g920p,mobile,SM-G920P Build/NRD90M,Android 7.0,chrome 62.0 for android
d6603,mobile,D6603 Build/23.5.A.1.291,,chrome 61.0 for android
sm-g930f,mobile,SM-G930F Build/NRD90M,,chrome 62.0 for android
lgms550,mobile,LGMS550 Build/NRD90U,Android 7.0,chrome 62.0 for android
sm-a520f,mobile,SM-A520F Build/NRD90M,,chrome 62.0 for android
sm-g920t,mobile,SM-G920T Build/NRD90M,Android 7.0,chrome 62.0 for android
fractal,mobile,Fractal,,android webview 4.0
huawei,mobile,HUAWEI,,chrome 62.0 for android
sm-t350,mobile,SM-T350 Build/NMF26X,Android 7.1.1,chrome 62.0 for android
samsung_sm-j730gm,mobile,SAMSUNG SM-J730GM Build/NRD90M,,samsung browser 6.2
ta-1039,mobile,TA-1039 Build/N2G47H,,chrome 62.0 for android
xt1003,mobile,XT1003,,chrome 62.0 for android
bv6000,mobile,BV6000,,chrome 62.0 for android
sm-t230,mobile,SM-T230 Build/KOT49H,,chrome 62.0 for android
samsung_sm-g920p,mobile,SAMSUNG SM-G920P Build/NRD90M,Android 7.0,samsung browser 6.2
htc_one_a9,mobile,HTC One A9 Build/NRD90M,,chrome 62.0 for android
nx785qc8g,mobile,NX785QC8G,Android 4.4.2,chrome 62.0 for android
rv470,desktop,rv:47.0,,firefox 47.0
e5506,mobile,E5506 Build/29.1.A.0.101,,chrome 63.0 for android
lgl33lv100,mobile,LGL33L/V100,Android,other
sm-j510fn,mobile,SM-J510FN,,chrome 62.0 for android
lgms330,mobile,LGMS330 Build/LMY47V,Android 5.1.1,chrome 62.0 for android
microsoft,mobile,Microsoft,,edge
samsung_sm-g955f,mobile,SAMSUNG SM-G955F Build/NRD90M,,samsung browser 6.2
xt1053,mobile,XT1053 Build/LPAS23.12-21.7-1,,chrome 63.0 for android
