card_id,card4,card6,card1
C06872-K1,mastercard,debit,
C01525-K2,visa,debit,
C12656-K1,visa,debit,
C10568-K1,mastercard,debit,
C11915-K1,visa,debit,
C02882-K1,visa,debit,
C09868-K1,mastercard,credit,
C09286-K1,mastercard,debit,
C00477-K2,visa,credit,
C06299-K1,mastercard,credit,
C10519-K1,visa,debit,
C02279-K1,mastercard,credit,
C03992-K2,visa,credit,
C13527-K1,visa,credit,
C04034-K2,mastercard,credit,
C02320-K2,visa,debit,
C08917-K1,american express,credit,
C10139-K1,visa,debit,
C00796-K1,visa,credit,
C03019-K2,discover,credit,
C09206-K2,visa,credit,
C07338-K1,mastercard,credit,
C03465-K1,american express,credit,
C12641-K2,visa,debit,
C06257-K1,mastercard,debit,
C05302-K1,mastercard,credit,
C08161-K1,visa,debit,
C03933-K1,visa,debit,
C06210-K1,mastercard,credit,
C12703-K1,mastercard,debit,
C04709-K2,mastercard,debit,
C09471-K2,mastercard,debit,
C07562-K2,visa,credit,
C06026-K2,visa,credit,
C06906-K1,mastercard,credit,
C13410-K1,visa,debit,
C12258-K2,visa,credit,
C12011-K1,visa,debit,
C10273-K1,american express,credit,
C08947-K1,mastercard,debit,
C08831-K1,mastercard,credit,
C05986-K2,mastercard,debit,
C10010-K1,mastercard,credit,
C00076-K1,mastercard,credit,
C01954-K1,mastercard,debit,
C13447-K1,visa,credit,
C00329-K2,visa,debit,
C11865-K1,visa,credit,
C10837-K2,visa,credit,
C06855-K1,mastercard,credit,
C11001-K1,american express,credit,
C00294-K2,visa,debit,
C03550-K1,visa,debit,
C13450-K1,american express,credit,
C01846-K1,visa,credit,
C01864-K1,mastercard,credit,
C07841-K1,visa,debit,
C01721-K2,mastercard,debit,
C13058-K2,visa,credit,
C02708-K1,mastercard,debit,
C02971-K1,american express,credit,
C09274-K1,visa,credit,
C09259-K1,american express,credit,
C11859-K1,visa,credit,
C13249-K1,visa,debit,
C05203-K1,visa,credit,
C06658-K1,mastercard,credit,
C03517-K1,visa,debit,
C12942-K2,visa,credit,
C02589-K1,visa,credit,
C01856-K1,visa,credit,
C00912-K1,american express,credit,
C08587-K1,mastercard,credit,
C03999-K1,mastercard,credit,
C03558-K1,mastercard,debit,
C05797-K1,american express,credit,
C01656-K1,mastercard,debit,
C01226-K1,american express,credit,
C11916-K1,visa,debit,
C08994-K1,american express,credit,
C11416-K2,visa,debit,
C01987-K1,american express,credit,
C05678-K1,visa,credit,
C10266-K1,visa,credit,
C01333-K2,visa,debit,
C07990-K1,mastercard,credit,
C06166-K1,american express,credit,
C01435-K1,mastercard,credit,
C06031-K2,mastercard,debit,
C08614-K1,visa,debit,
C06728-K1,mastercard,debit,
C11637-K1,american express,credit,
C10422-K2,mastercard,debit,
C02466-K1,visa,debit,
C04146-K1,visa,debit,
C11702-K1,mastercard,credit,
C04650-K1,american express,credit,
C09443-K1,mastercard,credit,
C07336-K1,visa,credit,
C11798-K1,american express,credit,
C03066-K1,visa,credit,
C03288-K1,mastercard,credit,
C00051-K1,mastercard,credit,
C06220-K1,visa,credit,
C05977-K1,mastercard,credit,
C02444-K1,american express,credit,
C05128-K1,visa,debit,
C11061-K1,american express,credit,
C07164-K1,visa,credit,
C05410-K1,mastercard,debit,
C12132-K2,mastercard,debit,
C01922-K2,visa,debit,
C06006-K1,discover,credit,
C00768-K2,visa,debit,
C01123-K1,visa,debit,
C00094-K3,mastercard,debit,
C04549-K1,visa,debit,
C08746-K1,mastercard,credit,
C12681-K1,mastercard,credit,
C01109-K2,visa,debit,
C03843-K1,american express,credit,
C03184-K1,mastercard,debit,
C10632-K1,mastercard,debit,
C04072-K2,mastercard,debit,
C13389-K1,mastercard,debit,
C02814-K1,visa,debit,
C05753-K1,mastercard,credit,
C10766-K1,american express,credit,
C02182-K1,mastercard,debit,
C08707-K1,mastercard,debit,
C00725-K1,american express,credit,
C07957-K1,visa,credit,
C07901-K1,visa,credit,
C06341-K1,visa,credit,
C10933-K1,visa,credit,
C04024-K2,visa,credit,
C12007-K2,mastercard,debit,
C00534-K2,mastercard,debit,
C13037-K1,visa,credit,
C01182-K1,visa,debit,
C09586-K2,mastercard,credit,
C04775-K1,visa,credit,
C01529-K1,visa,credit,
C08797-K1,visa,debit,
C03271-K1,american express,credit,
C11558-K2,visa,debit,
C05381-K2,mastercard,debit,
C12448-K1,american express,credit,
C11413-K1,mastercard,credit,
C02921-K1,mastercard,debit,
C07311-K1,visa,credit,
C11807-K1,mastercard,credit,
C06598-K1,visa,credit,
C09043-K1,visa,credit,
C01727-K2,visa,debit,
C07997-K1,visa,credit,
C07452-K1,american express,credit,
C12476-K1,visa,credit,
C11187-K1,visa,debit,
C10799-K1,visa,debit,
C12591-K1,american express,credit,
C10024-K1,visa,credit,
C01578-K1,american express,credit,
C05684-K1,mastercard,credit,
C04446-K1,mastercard,credit,
C09246-K1,mastercard,credit,
C07050-K1,visa,credit,
C12626-K2,visa,credit,
C13190-K2,visa,credit,
C00983-K1,mastercard,credit,
C10137-K2,visa,debit,
C09554-K1,american express,credit,
C11529-K1,american express,credit,
C12250-K1,american express,credit,
C11855-K1,american express,credit,
C01953-K2,visa,debit,
C01782-K2,discover,credit,
C13139-K1,american express,credit,
C10320-K1,visa,credit,
C06420-K1,visa,debit,
C05127-K1,visa,credit,
C09314-K1,mastercard,debit,
C11852-K1,mastercard,credit,
C11055-K1,american express,credit,
C01881-K1,visa,debit,
C07518-K2,visa,credit,
C11269-K1,american express,credit,
C08424-K1,american express,credit,
C10771-K1,american express,credit,
C00649-K1,american express,credit,
C07341-K1,visa,debit,
C12420-K1,mastercard,credit,
C02214-K2,visa,debit,
C02749-K1,mastercard,debit,
C07360-K1,visa,debit,
C10149-K1,mastercard,debit,
C02266-K2,visa,debit,
C02082-K1,visa,credit,
C11343-K1,visa,debit,
C10760-K2,visa,debit,
C10459-K1,american express,credit,
C04435-K1,american express,credit,
C08374-K1,mastercard,credit,
C07910-K1,visa,credit,
C05175-K1,mastercard,credit,
C06265-K1,visa,credit,
C08637-K2,mastercard,debit,
C02436-K1,visa,debit,
C10364-K1,visa,debit,
C02342-K1,visa,debit,
C11873-K2,mastercard,debit,
C08593-K1,visa,credit,
C11237-K1,american express,credit,
C10998-K1,american express,credit,
C04361-K2,visa,debit,
C11143-K1,mastercard,credit,
C13019-K1,american express,credit,
C04726-K1,visa,debit,
C11159-K1,visa,credit,
C00331-K1,visa,debit,
C11298-K2,visa,credit,
C08348-K1,visa,credit,
C00306-K1,visa,debit,
C06511-K1,american express,credit,
C06682-K1,american express,credit,
C07223-K1,american express,credit,
C03095-K2,mastercard,credit,
C02646-K1,visa,credit,
C10986-K2,visa,debit,
C10026-K1,visa,credit,
C11397-K1,visa,debit,
C09508-K1,visa,debit,
C10264-K1,visa,credit,
C00409-K1,visa,debit,
C09468-K2,mastercard,credit,
C05472-K1,american express,credit,
C01154-K1,visa,credit,
C08662-K1,visa,debit,
C13007-K1,visa,debit,
C11730-K1,mastercard,debit,
C11792-K1,visa,credit,
C08894-K1,american express,credit,
C08014-K1,visa,debit,
C08281-K2,visa,credit,
C07878-K1,american express,credit,
C09420-K2,visa,debit,
C06228-K1,mastercard,credit,
C02205-K1,mastercard,debit,
C08072-K1,visa,credit,
C02566-K1,american express,debit,
C04759-K1,american express,credit,
C01569-K1,american express,credit,
C04840-K1,mastercard,credit,
C11190-K1,american express,credit,
C05061-K1,visa,credit,
C03467-K1,american express,credit,
C06190-K1,visa,credit,
C12061-K2,visa,debit,
C07638-K1,mastercard,credit,
C12002-K1,american express,credit,
C01563-K1,visa,credit,
C06837-K1,visa,debit,
C04968-K1,american express,credit,
C12276-K1,visa,debit,
C08269-K1,visa,debit,
C07102-K1,american express,credit,
C05551-K2,visa,debit,
C11080-K1,visa,debit,
C06677-K1,american express,credit,
C03252-K1,american express,credit,
C06320-K1,visa,debit,
C01482-K1,mastercard,credit,
C02387-K1,mastercard,debit,
C12920-K1,visa,credit,
C10957-K2,visa,credit,
C02883-K2,mastercard,debit,
C12267-K2,visa,debit,
C07096-K2,mastercard,debit,
C05192-K2,visa,debit,
C04277-K1,american express,credit,
C10224-K1,mastercard,credit,
C10715-K2,mastercard,debit,
C04741-K1,american express,credit,
C07227-K2,mastercard,debit,
C07925-K1,visa,credit,
C01823-K1,mastercard,credit,
C01244-K1,american express,credit,
C10507-K2,mastercard,debit,
C10871-K1,american express,credit,
C12991-K1,visa,debit,
C02472-K1,american express,credit,
C10485-K1,mastercard,debit,
C01408-K1,mastercard,credit,
C10215-K1,visa,debit,
C05230-K1,mastercard,credit,
C11444-K1,mastercard,debit,
C12971-K1,mastercard,credit,
C07171-K2,visa,debit,
C05303-K1,mastercard,credit,
C11323-K1,visa,credit,
C08845-K3,visa,credit,
C03750-K1,visa,debit,
C10615-K1,american express,credit,
C12738-K1,visa,debit,
C10849-K1,american express,credit,
C00019-K1,mastercard,debit,
C09882-K1,american express,credit,
C01755-K2,visa,credit,
C10883-K1,american express,credit,
C10755-K1,visa,credit,
C00844-K1,visa,credit,
C11164-K1,american express,credit,
C11543-K2,visa,debit,
C06331-K2,visa,debit,
C04172-K2,visa,credit,
C07826-K1,visa,debit,
C11065-K1,visa,credit,
C08315-K1,american express,credit,
C00790-K1,visa,debit,
C00235-K2,visa,debit,
C03786-K1,visa,debit,
C07698-K1,american express,credit,
C04125-K2,visa,debit,
C08918-K2,visa,credit,
C04928-K1,american express,credit,
C01196-K1,american express,credit,
C05533-K1,american express,credit,
C09583-K1,american express,credit,
C05992-K1,american express,credit,
C12028-K2,visa,credit,
C10924-K2,visa,debit,
C13147-K1,visa,credit,
C01403-K1,visa,credit,
C09063-K1,visa,debit,
C13086-K2,visa,credit,
C00583-K1,visa,credit,
C12889-K1,visa,debit,
C02800-K1,visa,credit,
C04537-K1,mastercard,credit,
C07919-K2,visa,debit,
C02121-K1,american express,credit,
C03363-K2,mastercard,debit,
C01301-K1,mastercard,debit,
C13067-K1,mastercard,credit,
C04754-K1,american express,credit,
C06215-K1,visa,debit,
C06708-K2,mastercard,credit,
C03770-K1,mastercard,debit,
C02055-K1,american express,credit,
C02177-K1,visa,debit,
C07685-K1,american express,credit,
C07761-K1,mastercard,debit,
C00466-K1,mastercard,credit,
C06001-K1,mastercard,credit,
C01063-K2,visa,credit,
C06373-K1,mastercard,credit,
C12947-K1,visa,debit,
C02188-K1,american express,credit,
C04710-K1,american express,credit,
C12913-K1,american express,credit,
C04117-K2,mastercard,debit,
C03485-K1,visa,debit,
C08438-K1,visa,debit,
C03539-K1,mastercard,credit,
C01392-K1,american express,credit,
C00299-K1,american express,credit,
C13492-K1,american express,credit,
C04077-K1,american express,credit,
C01744-K2,mastercard,credit,
C00887-K1,visa,debit,
C02756-K1,visa,debit,
C01137-K1,american express,credit,
C00450-K1,visa,credit,
C12309-K1,american express,credit,
C05155-K1,visa,debit,
C08943-K2,visa,debit,
C07646-K2,mastercard,debit,
C08302-K1,visa,credit,
C06694-K1,mastercard,debit,
C13175-K1,american express,credit,
C10502-K1,american express,credit,
C09092-K1,mastercard,debit,
C09848-K2,visa,credit,
C07791-K1,american express,credit,
C06996-K1,american express,credit,
C10305-K1,visa,credit,
C13332-K1,visa,credit,
C01730-K1,visa,credit,
C00263-K1,american express,credit,
C03872-K1,mastercard,credit,
C11586-K1,american express,credit,
C01855-K2,mastercard,credit,
C09681-K1,american express,credit,
C01961-K1,american express,credit,
C03146-K1,american express,credit,
C02627-K1,mastercard,credit,
C03303-K1,american express,credit,
C12417-K1,mastercard,debit,
C01500-K1,mastercard,credit,
C05600-K1,american express,credit,
C12063-K1,visa,credit,
C05467-K1,visa,debit,
C05097-K2,visa,debit,
C00997-K1,american express,credit,
C11429-K1,visa,debit,
C12930-K1,american express,credit,
C05398-K1,visa,debit,
C07130-K1,mastercard,debit,
C08363-K1,visa,credit,
C06024-K1,visa,debit,
C06343-K1,mastercard,credit,
C09055-K1,mastercard,credit,
C04729-K1,visa,credit,
C01614-K1,mastercard,credit,
C00178-K1,american express,credit,
C09902-K2,mastercard,debit,
C04533-K1,mastercard,credit,
C10455-K1,american express,credit,
C05485-K1,mastercard,credit,
C10346-K1,american express,credit,
C11533-K2,visa,debit,
C09663-K1,mastercard,credit,
C05853-K1,american express,credit,
C11041-K1,visa,debit,
C01935-K1,mastercard,credit,
C09394-K1,american express,credit,
C09365-K2,mastercard,debit,
C06947-K2,visa,credit,
C08646-K1,mastercard,debit,
C11458-K1,mastercard,credit,
C08723-K1,mastercard,credit,
C03136-K1,visa,debit,
C09823-K1,visa,debit,
C10690-K1,mastercard,debit,
C08850-K1,american express,credit,
C04893-K1,visa,debit,
C04437-K1,visa,credit,
C03218-K2,visa,debit,
C09445-K1,visa,debit,
C09855-K2,visa,debit,
C10559-K1,visa,debit,
C12532-K1,mastercard,credit,
C07708-K1,american express,credit,
C10343-K1,visa,debit,
C12707-K1,mastercard,debit,
C07784-K1,mastercard,credit,
C02949-K1,visa,debit,
C10574-K1,visa,debit,
C09742-K2,visa,credit,
C05560-K2,visa,credit,
C08541-K1,mastercard,credit,
C02285-K2,visa,debit,
C10476-K1,mastercard,credit,
C10114-K1,visa,credit,
C09294-K1,visa,credit,
C01618-K2,mastercard,debit,
C09359-K1,mastercard,credit,
C03433-K1,visa,debit,
C12203-K1,american express,credit,
C06669-K1,mastercard,credit,
C13241-K1,mastercard,debit,
C05479-K1,american express,credit,
C05772-K1,visa,debit,
C00942-K2,mastercard,debit,
C12450-K1,american express,credit,
C08391-K2,mastercard,debit,
C01797-K1,american express,credit,
C09490-K2,mastercard,debit,
C09720-K1,visa,debit,
C09927-K1,mastercard,debit,
C08140-K1,mastercard,credit,
C10999-K1,american express,credit,
C08186-K1,visa,debit,
C08347-K1,american express,credit,
C00532-K1,american express,credit,
C08222-K1,mastercard,credit,
C08965-K1,american express,credit,
C10016-K2,visa,debit,
C07247-K1,american express,credit,
C03125-K2,mastercard,debit,
C07253-K1,mastercard,debit,
C09683-K1,american express,credit,
C08011-K1,american express,credit,
C00353-K1,american express,credit,
C08841-K1,mastercard,debit,
C09687-K1,american express,credit,
C03773-K2,mastercard,credit,
C05826-K1,mastercard,credit,
C09251-K1,visa,debit,
C03714-K1,mastercard,debit,
C06897-K1,american express,credit,
C09026-K1,visa,debit,
C05770-K1,visa,debit,
C03656-K2,mastercard,debit,
C01534-K1,visa,debit,
C06079-K1,american express,credit,
C01115-K1,american express,credit,
C11704-K1,mastercard,credit,
C12758-K1,visa,credit,
C06851-K1,visa,debit,
C06240-K1,american express,credit,
C05106-K1,american express,credit,
C04313-K1,visa,credit,
C12748-K2,mastercard,debit,
C03295-K2,mastercard,debit,
C08372-K1,american express,credit,
C07687-K1,american express,credit,
C04068-K1,visa,debit,
C13521-K1,mastercard,debit,
C04715-K1,visa,credit,
C01828-K2,visa,debit,
C13432-K1,mastercard,credit,
C09149-K1,visa,credit,
C04307-K1,american express,credit,
C11554-K1,visa,debit,
C05116-K1,mastercard,debit,
C01599-K1,visa,credit,
C08040-K1,american express,credit,
C08483-K1,mastercard,credit,
C10578-K1,american express,credit,
C01812-K1,visa,credit,
C07678-K1,visa,credit,
C01513-K1,visa,credit,
C06835-K2,visa,debit,
C08611-K1,visa,debit,
C07729-K1,visa,credit,
C12717-K1,visa,credit,
C07256-K2,visa,credit,
C06084-K2,mastercard,debit,
C08971-K1,visa,credit,
C10639-K1,mastercard,debit,
C07655-K1,mastercard,credit,
C02193-K1,visa,debit,
C01365-K1,mastercard,debit,
C03657-K1,visa,debit,
C10526-K1,visa,debit,
C03418-K1,visa,debit,
C13227-K1,visa,debit,
C10421-K1,visa,credit,
C10745-K1,visa,debit,
C07694-K1,mastercard,debit,
C01542-K1,visa,debit,
C09651-K1,american express,credit,
C07614-K2,visa,debit,
C09918-K1,american express,credit,
C04505-K1,mastercard,credit,
C12754-K1,visa,debit,
C11307-K1,mastercard,debit,
C10426-K1,visa,credit,
C01494-K1,american express,credit,
C04306-K1,visa,debit,
C07185-K2,visa,debit,
C00805-K1,american express,credit,
C12793-K1,mastercard,debit,
C11375-K1,american express,credit,
C12397-K1,visa,debit,
C04798-K2,visa,debit,
C02170-K1,visa,credit,
C08232-K1,american express,credit,
C09491-K1,visa,debit,
C11629-K1,american express,credit,
C07480-K1,american express,credit,
C10037-K1,visa,debit,
C01209-K1,mastercard,debit,
C10158-K1,mastercard,credit,
C07221-K1,visa,credit,
C03647-K1,american express,credit,
C06650-K2,visa,debit,
C12736-K1,visa,debit,
C05454-K1,mastercard,credit,
C05595-K1,mastercard,debit,
C11339-K1,mastercard,debit,
C10165-K1,visa,credit,
C01799-K2,visa,credit,
C12585-K1,visa,credit,
C03263-K1,american express,credit,
C11490-K1,mastercard,credit,
C13407-K1,mastercard,debit,
C05906-K1,american express,credit,
C01688-K1,american express,credit,
C05490-K1,visa,credit,
C07809-K1,visa,debit,
C02667-K1,visa,credit,
C05234-K1,american express,credit,
C02502-K2,mastercard,debit,
C09533-K1,mastercard,credit,
C04488-K1,american express,credit,
C04984-K2,mastercard,debit,
C05958-K1,mastercard,credit,
C11201-K1,mastercard,credit,
C08834-K1,visa,debit,
C08288-K1,visa,debit,
C03702-K1,visa,debit,
C06588-K1,visa,debit,
C01328-K1,visa,credit,
C04350-K1,american express,credit,
C03234-K1,visa,debit,
C07027-K1,mastercard,credit,
C00296-K1,mastercard,credit,
C12036-K2,visa,debit,
C01166-K1,american express,credit,
C06247-K1,visa,credit,
C03598-K2,visa,debit,
C00405-K1,visa,debit,
C11247-K1,mastercard,debit,
