customer_id,first_seen,last_seen
C03320,2016-07-02 15:27:34,2016-11-30 17:31:29
C08899,2016-07-02 15:31:36,2016-12-04 14:19:27
C02309,2016-07-02 15:33:35,2016-12-27 21:32:30
C02380,2016-07-02 15:41:55,2016-12-28 14:46:02
C11539,2016-07-02 15:43:35,2016-12-28 22:33:17
C12829,2016-07-02 15:44:47,2016-07-02 15:44:47
C03405,2016-07-02 15:47:07,2016-12-29 20:30:42
C01374,2016-07-02 15:51:55,2016-12-29 19:17:52
C06253,2016-07-02 15:52:02,2016-12-24 00:24:28
C04762,2016-07-02 15:52:39,2016-12-30 20:15:02
C07919,2016-07-02 15:53:25,2016-12-28 23:46:48
C10715,2016-07-02 15:53:29,2016-12-28 17:43:58
C06888,2016-07-02 16:00:50,2016-07-22 19:53:23
C06890,2016-07-02 16:02:59,2016-10-18 18:05:33
C05595,2016-07-02 16:05:35,2016-12-28 22:43:11
C00051,2016-07-02 16:05:54,2016-12-29 22:01:35
C02923,2016-07-02 16:06:18,2016-12-10 23:28:09
C12676,2016-07-02 16:10:50,2016-11-20 12:36:42
C08598,2016-07-02 16:14:26,2016-12-13 13:20:01
C01252,2016-07-02 16:20:27,2016-09-02 20:30:02
C05443,2016-07-02 16:23:17,2016-12-30 23:49:38
C07387,2016-07-02 16:23:39,2016-12-09 18:40:05
C06481,2016-07-02 16:23:49,2016-12-29 23:52:12
C09584,2016-07-02 16:24:31,2016-12-08 22:11:10
C04478,2016-07-02 16:27:00,2016-10-29 17:42:07
C04834,2016-07-02 16:36:13,2016-12-19 16:54:27
C08635,2016-07-02 16:37:51,2016-12-30 01:14:47
C03488,2016-07-02 16:42:21,2016-12-29 01:01:58
C11005,2016-07-02 16:45:01,2016-12-29 21:29:25
C02764,2016-07-02 16:45:53,2016-12-29 18:14:21
C13259,2016-07-02 16:46:35,2016-11-18 01:47:42
C11059,2016-07-02 16:47:31,2016-12-28 16:13:15
C10585,2016-07-02 16:52:34,2016-12-27 01:11:06
C05115,2016-07-02 16:53:46,2016-12-28 20:49:47
C13516,2016-07-02 16:55:08,2016-12-24 21:27:24
C03667,2016-07-02 16:56:48,2016-09-02 16:41:59
C04709,2016-07-02 16:58:25,2016-12-29 23:14:36
C11702,2016-07-02 17:00:55,2016-12-24 02:33:43
C01010,2016-07-02 17:03:31,2016-12-28 18:09:46
C09657,2016-07-02 17:06:41,2016-12-30 19:18:07
C13354,2016-07-02 17:12:50,2016-12-29 17:27:57
C07215,2016-07-02 17:15:17,2016-12-17 15:21:25
C06348,2016-07-02 17:15:31,2016-12-29 21:24:15
C01110,2016-07-02 17:16:12,2016-12-15 21:15:00
C01061,2016-07-02 17:24:07,2016-07-13 18:52:23
C09820,2016-07-02 17:27:00,2016-12-29 18:17:14
C05171,2016-07-02 17:27:37,2016-12-26 21:00:07
C09420,2016-07-02 17:32:32,2016-12-28 15:09:24
C11583,2016-07-02 17:35:52,2016-12-14 17:21:50
C11906,2016-07-02 17:38:30,2016-12-28 16:26:25
C12652,2016-07-02 17:42:23,2016-10-02 18:41:10
C00059,2016-07-02 17:43:33,2016-12-29 13:13:40
C01286,2016-07-02 17:44:46,2016-11-06 03:41:05
C11852,2016-07-02 17:46:28,2016-12-28 23:13:10
C12981,2016-07-02 17:46:28,2016-12-29 18:28:54
C07335,2016-07-02 17:47:54,2016-12-16 01:25:33
C04062,2016-07-02 17:50:10,2016-12-27 18:39:30
C11176,2016-07-02 17:51:46,2016-07-02 17:51:46
C00089,2016-07-02 17:53:03,2016-12-28 02:41:45
C05448,2016-07-02 17:54:25,2016-12-23 12:10:40
C06327,2016-07-02 17:55:41,2016-12-24 03:26:48
C04525,2016-07-02 17:55:42,2016-12-25 22:54:20
C10320,2016-07-02 17:58:58,2016-12-24 22:01:19
C11768,2016-07-02 18:00:07,2016-11-29 20:09:30
C02566,2016-07-02 18:00:30,2016-07-26 18:53:59
C10900,2016-07-02 18:02:09,2016-12-23 20:26:28
C11701,2016-07-02 18:02:16,2016-07-06 22:15:39
C02646,2016-07-02 18:03:42,2016-11-10 18:07:43
C04764,2016-07-02 18:03:53,2016-12-21 17:09:55
C02930,2016-07-02 18:04:51,2016-12-25 12:04:28
C11216,2016-07-02 18:12:41,2016-12-24 20:39:40
C07149,2016-07-02 18:14:33,2016-12-30 23:25:43
C09354,2016-07-02 18:16:09,2016-12-28 18:11:04
C01248,2016-07-02 18:17:56,2016-10-21 22:13:04
C03651,2016-07-02 18:18:38,2016-12-29 16:42:06
C03722,2016-07-02 18:18:53,2016-12-27 19:38:59
C07741,2016-07-02 18:19:09,2016-12-28 20:01:35
C04701,2016-07-02 18:20:12,2016-12-13 10:13:21
C07997,2016-07-02 18:20:46,2016-12-27 10:19:39
C01942,2016-07-02 18:22:32,2016-12-16 01:21:05
C10006,2016-07-02 18:29:39,2016-12-30 20:38:52
C03204,2016-07-02 18:30:30,2016-09-18 16:22:02
C08695,2016-07-02 18:32:09,2016-12-23 02:54:52
C08775,2016-07-02 18:33:03,2016-12-10 18:39:47
C09191,2016-07-02 18:34:28,2016-10-07 19:11:34
C13053,2016-07-02 18:39:33,2016-12-25 15:43:18
C08542,2016-07-02 18:39:44,2016-12-21 22:17:16
C11687,2016-07-02 18:41:01,2016-12-26 23:16:56
C03839,2016-07-02 18:43:16,2016-12-30 11:24:50
C09087,2016-07-02 18:43:58,2016-12-22 15:31:24
C07276,2016-07-02 18:44:06,2016-08-30 17:14:21
C08321,2016-07-02 18:45:15,2016-11-23 03:12:00
C13346,2016-07-02 18:47:47,2016-12-18 14:41:36
C11494,2016-07-02 18:49:30,2016-12-23 17:05:54
C07889,2016-07-02 18:51:07,2016-12-14 16:22:10
C04408,2016-07-02 18:53:32,2016-12-28 21:15:58
C02346,2016-07-02 18:54:52,2016-12-30 18:53:12
C03411,2016-07-02 18:55:08,2016-12-29 21:54:56
C01337,2016-07-02 18:58:24,2016-12-28 12:02:37
C09650,2016-07-02 19:04:53,2016-12-21 13:10:04
C01988,2016-07-02 19:08:39,2016-12-06 03:19:53
C04118,2016-07-02 19:10:43,2016-12-30 19:50:28
C00195,2016-07-02 19:11:06,2016-12-23 12:34:06
C03670,2016-07-02 19:14:25,2016-10-31 18:57:28
C06845,2016-07-02 19:15:00,2016-12-27 01:48:17
C05318,2016-07-02 19:15:10,2016-12-28 18:37:59
C05164,2016-07-02 19:17:39,2016-12-07 16:13:16
C12097,2016-07-02 19:22:40,2016-12-28 18:15:10
C08597,2016-07-02 19:23:37,2016-12-28 22:38:01
C04112,2016-07-02 19:25:05,2016-12-26 17:28:55
C12003,2016-07-02 19:27:53,2016-12-24 23:42:02
C06658,2016-07-02 19:27:55,2016-12-26 15:16:13
C07906,2016-07-02 19:33:15,2016-07-02 19:33:15
C04285,2016-07-02 19:33:35,2016-12-30 21:09:49
C12542,2016-07-02 19:34:05,2016-12-24 15:06:23
C00409,2016-07-02 19:34:37,2016-12-25 18:30:38
C00101,2016-07-02 19:37:50,2016-11-09 22:13:14
C02456,2016-07-02 19:38:48,2016-12-30 23:51:50
C12060,2016-07-02 19:39:38,2016-12-29 16:55:03
C02094,2016-07-02 19:39:57,2016-12-24 22:11:37
C10915,2016-07-02 19:44:47,2016-12-22 11:46:41
C13542,2016-07-02 19:49:18,2016-12-14 23:50:48
C08622,2016-07-02 19:51:38,2016-12-12 00:06:59
C09261,2016-07-02 19:52:18,2016-12-14 14:54:07
C11441,2016-07-02 19:55:21,2016-09-23 01:27:30
C01735,2016-07-02 20:00:17,2016-12-04 11:13:06
C05129,2016-07-02 20:10:06,2016-12-30 16:17:36
C11257,2016-07-02 20:13:23,2016-11-12 16:54:44
C07076,2016-07-02 20:13:39,2016-12-29 18:36:41
C10760,2016-07-02 20:14:38,2016-12-30 21:47:39
C03787,2016-07-02 20:18:02,2016-12-18 18:21:22
C13337,2016-07-02 20:22:31,2016-12-18 20:20:16
C05011,2016-07-02 20:25:15,2016-12-27 02:18:38
C08422,2016-07-02 20:30:15,2016-11-22 08:44:39
C10752,2016-07-02 20:32:11,2016-12-18 00:17:26
C11533,2016-07-02 20:32:39,2016-12-29 12:11:29
C11662,2016-07-02 20:33:34,2016-08-19 18:37:41
C06552,2016-07-02 20:33:46,2016-12-28 10:31:37
C06800,2016-07-02 20:37:07,2016-12-23 01:06:43
C00642,2016-07-02 20:37:58,2016-12-30 19:40:26
C04352,2016-07-02 20:39:21,2016-12-28 00:15:24
C01706,2016-07-02 20:43:57,2016-12-14 14:29:07
C03532,2016-07-02 20:45:33,2016-12-29 00:38:41
C05120,2016-07-02 20:45:35,2016-09-12 01:11:54
C10873,2016-07-02 20:50:12,2016-12-29 10:04:43
C07847,2016-07-02 20:54:31,2016-12-28 21:27:33
C08460,2016-07-02 20:58:17,2016-12-28 18:30:31
C10386,2016-07-02 20:58:28,2016-12-18 18:11:25
C04157,2016-07-02 21:02:46,2016-12-04 17:48:12
C13328,2016-07-02 21:03:56,2016-12-29 21:51:15
C01855,2016-07-02 21:04:34,2016-12-30 23:25:58
C09064,2016-07-02 21:06:46,2016-12-28 15:17:05
C03201,2016-07-02 21:06:52,2016-12-24 19:43:00
C09274,2016-07-02 21:06:57,2016-12-29 21:36:51
C04248,2016-07-02 21:07:28,2016-12-28 03:42:42
C06388,2016-07-02 21:08:11,2016-12-24 17:28:15
C12321,2016-07-02 21:08:33,2016-11-25 16:25:17
C04548,2016-07-02 21:10:08,2016-12-28 00:01:34
C07336,2016-07-02 21:13:46,2016-12-17 13:39:24
C09608,2016-07-02 21:15:47,2016-12-14 20:48:13
C00509,2016-07-02 21:16:09,2016-11-25 03:07:21
C03299,2016-07-02 21:20:11,2016-12-28 00:44:39
C11319,2016-07-02 21:26:39,2016-12-27 16:15:09
C10946,2016-07-02 21:26:53,2016-07-02 21:26:53
C07954,2016-07-02 21:29:02,2016-12-26 20:38:43
C00522,2016-07-02 21:29:06,2016-12-28 20:32:19
C03042,2016-07-02 21:33:32,2016-12-27 19:16:03
C12626,2016-07-02 21:36:56,2016-12-25 23:00:08
C05576,2016-07-02 21:39:30,2016-11-01 20:28:28
C11362,2016-07-02 21:40:29,2016-12-24 17:32:09
C13117,2016-07-02 21:41:54,2016-11-01 14:17:29
C06840,2016-07-02 21:43:07,2016-12-27 01:21:05
C02708,2016-07-02 21:44:48,2016-12-24 02:46:34
C05393,2016-07-02 21:48:39,2016-07-09 16:26:55
C13408,2016-07-02 21:49:21,2016-11-17 11:07:12
C01782,2016-07-02 21:50:31,2016-12-29 21:18:57
C08780,2016-07-02 21:59:33,2016-09-19 00:18:07
C00779,2016-07-02 22:01:55,2016-12-28 19:06:06
C09795,2016-07-02 22:07:16,2016-12-22 13:38:05
C06681,2016-07-02 22:07:29,2016-12-22 21:20:18
C10015,2016-07-02 22:12:20,2016-12-16 12:39:21
C03933,2016-07-02 22:14:48,2016-12-30 20:28:11
C11872,2016-07-02 22:15:42,2016-11-26 21:17:29
C00081,2016-07-02 22:16:22,2016-12-28 00:34:49
C03696,2016-07-02 22:19:15,2016-12-24 14:27:17
C11726,2016-07-02 22:21:10,2016-11-24 01:39:32
C10365,2016-07-02 22:23:18,2016-12-28 22:06:21
C12826,2016-07-02 22:25:52,2016-12-22 19:12:01
C08240,2016-07-02 22:32:05,2016-12-17 19:43:13
C01002,2016-07-02 22:33:31,2016-12-29 05:01:34
C05820,2016-07-02 22:34:57,2016-12-30 13:17:48
C03449,2016-07-02 22:36:19,2016-12-13 01:48:42
C09733,2016-07-02 22:40:22,2016-12-28 21:34:00
C07626,2016-07-02 22:41:54,2016-12-30 17:01:14
C02780,2016-07-02 22:47:54,2016-12-29 20:08:32
C06873,2016-07-02 22:49:49,2016-12-23 23:24:02
C06438,2016-07-02 22:53:08,2016-12-29 01:11:43
C04281,2016-07-02 22:56:29,2016-07-24 20:08:46
C10227,2016-07-02 22:57:09,2016-07-02 22:57:09
C01661,2016-07-02 22:58:50,2016-12-15 18:31:23
C00386,2016-07-02 22:59:20,2016-12-22 16:25:58
C03061,2016-07-02 23:05:10,2016-12-02 22:52:38
C06306,2016-07-02 23:06:04,2016-11-19 00:17:04
C00543,2016-07-02 23:11:56,2016-12-29 23:45:06
C08875,2016-07-02 23:14:14,2016-12-02 21:13:03
C02112,2016-07-02 23:16:18,2016-12-17 18:09:29
C13486,2016-07-02 23:17:52,2016-12-29 22:31:19
C03024,2016-07-02 23:18:52,2016-12-30 21:00:56
C00704,2016-07-02 23:20:23,2016-12-27 17:30:49
C11479,2016-07-02 23:20:46,2016-12-26 20:36:16
C09742,2016-07-02 23:21:44,2016-12-27 23:08:35
C10949,2016-07-02 23:25:25,2016-12-23 21:36:11
C09289,2016-07-02 23:25:40,2016-12-26 02:29:57
C11590,2016-07-02 23:28:49,2016-07-02 23:28:49
C10922,2016-07-02 23:29:27,2016-12-18 16:24:33
C01979,2016-07-02 23:31:09,2016-12-29 22:15:01
C10998,2016-07-02 23:42:47,2016-10-29 19:22:41
C13015,2016-07-02 23:44:35,2016-12-29 15:47:11
C09362,2016-07-02 23:45:59,2016-12-22 14:11:20
C00213,2016-07-02 23:48:03,2016-12-20 12:48:22
